名称,id,今收,增幅,增比,今开,成交量,最高,涨停,内盘,成交额,委比,流通市值,市盈率,每股收益,总股本,昨收,换手率,最低,跌停,外盘,振幅,量比,总市值,市净率,每股净资产,流通股本
平安银行(000001),sz000001,10.90,-0.15,-1.36%,11.04,75.22万手,11.05,12.16,38.65万手,8.23亿,64.12%,1844.06亿,8.07,1.35,171.70亿,11.05,0.44%,10.88,"
                        9.95",36.57万手,1.54%,1.61,1871.57亿,0.93,11.77,169.18亿
万科A(000002),sz000002,33.29,-0.87,-2.55%,33.70,57.27万手,33.99,37.58,29.72万手,19.18亿,36.83%,3234.18亿,13.10,2.54,110.39亿,34.16,0.59%,33.17,"
                        30.74",27.55万手,2.40%,0.83,3674.93亿,2.77,12.02,97.15亿
PT金田A(000003),sz000003,,,,,,,,,,,,,,,,,,,,,,,,,
国农科技(000004),sz000004,22.85,+0.09,+0.40%,22.76,6296手,22.95,25.04,3155手,1431.75万,-50.74%,18.97亿,--,-0.06,8397.67万,22.76,0.76%,22.60,"
                        20.48",3141手,1.54%,0.26,19.19亿,16.63,1.37,8301.32万
世纪星源(000005),sz000005,3.86,-0.06,-1.53%,4.03,13.42万手,4.03,4.31,10.43万手,5184.08万,9.76%,36.72亿,--,-0.02,10.59亿,3.92,1.41%,3.80,"
                        3.53",2.98万手,5.87%,1.23,40.86亿,3.23,1.20,9.51亿
深振业A(000006),sz000006,7.37,-0.15,-1.99%,7.46,20.90万手,7.50,8.27,12.50万手,1.55亿,38.47%,99.14亿,22.00,0.25,13.50亿,7.52,1.55%,7.35,"
                        6.77",8.40万手,1.99%,0.53,99.49亿,1.95,3.78,13.45亿
全新好(000007),sz000007,14.33,-0.04,-0.28%,14.37,1.71万手,14.65,15.81,1.00万手,2462.48万,16.32%,44.27亿,360.52,0.03,3.46亿,14.37,0.55%,14.27,"
                        12.93",7091手,2.64%,0.36,49.65亿,13.04,1.10,3.09亿
神州高铁(000008),sz000008,6.84,--,0.00%,6.84,6.97万手,6.87,7.52,4.12万手,4753.20万,5.49%,174.96亿,118.58,0.04,28.18亿,6.84,0.27%,6.78,"
                        6.16",2.85万手,1.32%,0.18,192.77亿,3.09,2.21,25.58亿
中国宝安(000009),sz000009,,,,,,,,,,,,,,,,,,,,,,,,,
美丽生态(000010),sz000010,4.51,+0.04,+0.89%,4.50,3.85万手,4.51,4.92,1.72万手,1731.48万,7.43%,23.55亿,218.59,0.02,8.20亿,4.47,0.74%,4.47,"
                        4.02",2.14万手,0.89%,0.29,36.98亿,1.66,2.72,5.22亿
深物业A(000011),sz000011,16.00,-0.40,-2.44%,16.14,6.67万手,16.37,18.04,4.08万手,1.07亿,34.08%,28.14亿,12.41,0.97,5.96亿,16.40,3.80%,15.93,"
                        14.76",2.59万手,2.68%,0.38,95.36亿,3.31,4.83,1.76亿
南玻A(000012),sz000012,7.53,+0.04,+0.53%,7.50,7.90万手,7.58,8.24,3.83万手,5956.76万,-1.56%,113.66亿,19.73,0.30,24.84亿,7.49,0.52%,7.49,"
                        6.74",4.07万手,1.20%,0.50,187.06亿,2.15,3.50,15.09亿
*ST石化A(000013),sz000013,,--,%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"
                        --",--,--,--,--,--,--,--
沙河股份(000014),sz000014,12.30,+0.46,+3.89%,12.55,26.66万手,13.02,13.02,13.56万手,3.38亿,12.14%,24.81亿,418.44,0.02,2.02亿,11.84,13.21%,12.25,"
                        10.66",13.09万手,6.50%,5.67,24.81亿,3.36,3.66,2.02亿
PT中浩A(000015),sz000015,,--,%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"
                        --",--,--,--,--,--,--,--
深康佳A(000016),sz000016,6.99,+0.08,+1.16%,6.97,17.78万手,7.05,7.60,7.69万手,1.24亿,-58.20%,111.60亿,97.97,0.05,24.08亿,6.91,1.11%,6.91,"
                        6.22",10.09万手,2.03%,1.54,168.32亿,5.53,1.26,15.97亿
深中华A(000017),sz000017,5.59,--,0.00%,5.60,2.54万手,5.63,6.15,1.42万手,1420.68万,6.06%,16.94亿,--,0.00,5.51亿,5.59,0.84%,5.56,"
                        5.03",1.12万手,1.25%,0.21,30.82亿,236.96,0.02,3.03亿
神州长城(000018),sz000018,6.11,+0.02,+0.33%,6.10,13.26万手,6.16,6.70,6.54万手,8123.60万,-77.34%,46.06亿,18.96,0.24,16.98亿,6.09,1.76%,6.07,"
                        5.48",6.72万手,1.48%,0.94,103.76亿,5.08,1.20,7.54亿
深深宝A(000019),sz000019,12.15,--,0.00%,--,--,--,13.37,--,--,--,50.54亿,--,-0.05,4.97亿,12.15,--,--,"
                        10.93",--,--,--,60.36亿,6.20,1.96,4.16亿
深华发A(000020),sz000020,15.06,+0.14,+0.94%,14.73,5.32万手,15.29,16.41,2.95万手,7929.09万,68.91%,27.28亿,9180.26,0.00,2.83亿,14.92,2.93%,14.58,"
                        13.43",2.37万手,4.76%,1.60,42.64亿,13.32,1.13,1.81亿
深科技(000021),sz000021,8.74,+0.28,+3.31%,8.50,22.58万手,8.84,9.31,9.47万手,1.97亿,-44.03%,128.41亿,20.56,0.32,14.71亿,8.46,1.54%,8.50,"
                        7.61",13.11万手,4.02%,1.78,128.59亿,2.21,3.95,14.69亿
深赤湾A(000022),sz000022,24.14,--,0.00%,--,--,--,26.55,--,--,--,112.15亿,30.85,0.78,6.45亿,24.14,--,--,"
                        21.73",--,--,--,155.65亿,3.16,7.64,4.65亿
深天地A(000023),sz000023,18.46,-0.46,-2.43%,18.92,3.46万手,18.97,20.81,2.10万手,6393.26万,40.30%,25.61亿,56.75,0.24,1.39亿,18.92,2.49%,18.30,"
                        17.03",1.36万手,3.54%,1.74,25.61亿,6.16,3.00,1.39亿
招商地产(000024),sz000024,,,,,,,,,,,,,,,,,,,,,,,,,
特力A(000025),sz000025,37.34,+0.14,+0.38%,37.20,3.43万手,37.71,40.92,1.77万手,1.28亿,29.98%,72.40亿,205.03,0.14,2.97亿,37.20,1.77%,37.01,"
                        33.48",1.66万手,1.88%,0.36,111.00亿,11.85,3.15,1.94亿
飞亚达A(000026),sz000026,10.90,+0.19,+1.77%,10.72,4.41万手,10.99,11.78,1.84万手,4797.21万,14.54%,38.88亿,34.11,0.32,4.39亿,10.71,1.24%,10.64,"
                        9.64",2.58万手,3.27%,0.28,47.82亿,1.94,5.63,3.57亿
深圳能源(000027),sz000027,5.84,+0.04,+0.69%,5.81,4.61万手,5.88,6.38,1.97万手,2694.01万,19.24%,231.53亿,21.61,0.20,39.64亿,5.80,0.12%,5.81,"
                        5.22",2.64万手,1.21%,0.55,231.53亿,1.04,5.61,39.64亿
国药一致(000028),sz000028,59.47,-0.41,-0.68%,60.49,1.28万手,60.49,65.87,7984手,7647.34万,-39.47%,183.02亿,24.07,2.47,4.28亿,59.88,0.42%,59.08,"
                        53.89",4842手,2.35%,1.32,254.61亿,2.71,21.95,3.08亿
深深房A(000029),sz000029,11.17,--,0.00%,--,--,--,12.29,--,--,--,99.60亿,56.66,0.15,10.12亿,11.17,--,--,"
                        10.05",--,--,--,113.00亿,4.04,2.76,8.92亿
富奥股份(000030),sz000030,7.15,--,0.00%,7.14,2.73万手,7.28,7.87,1.31万手,1950.54万,24.50%,89.54亿,10.76,0.50,12.93亿,7.15,0.22%,7.11,"
                        6.44",1.42万手,2.38%,0.32,92.47亿,1.66,4.30,12.52亿
中粮地产(000031),sz000031,8.00,--,0.00%,--,--,--,8.80,--,--,--,145.10亿,15.35,0.52,18.14亿,8.00,--,--,"
                        7.20",--,--,--,145.10亿,2.19,3.66,18.14亿
深桑达A(000032),sz000032,10.02,-0.13,-1.28%,10.09,4.86万手,10.24,11.17,2.76万手,4903.25万,-74.03%,28.00亿,70.48,0.11,4.22亿,10.15,1.74%,9.98,"
                        9.13",2.10万手,2.56%,1.36,42.31亿,2.87,3.49,2.79亿
新都退(000033),sz000033,1.70,+0.07,+4.29%,1.67,38.80万手,1.77,1.79,19.97万手,6522.19万,30.95%,7.31亿,173.26,0.00,4.30亿,1.63,9.03%,1.59,"
                        1.47",18.83万手,11.04%,19.59,7.31亿,31.10,0.05,4.30亿
神州数码(000034),sz000034,21.60,--,0.00%,--,--,--,23.76,--,--,--,77.32亿,33.88,0.48,6.54亿,21.60,--,--,"
                        19.44",--,--,--,141.28亿,4.81,4.49,3.58亿
中国天楹(000035),sz000035,6.72,--,0.00%,--,--,--,7.39,--,--,--,78.50亿,48.54,0.10,13.52亿,6.72,--,--,"
                        6.05",--,--,--,90.82亿,3.09,2.17,11.68亿
华联控股(000036),sz000036,8.48,-0.10,-1.17%,8.53,9.00万手,8.57,9.44,5.78万手,7636.73万,73.37%,96.29亿,6.72,0.95,11.41亿,8.58,0.79%,8.42,"
                        7.72",3.22万手,1.75%,0.63,96.80亿,2.35,3.61,11.35亿
深南电A(000037),sz000037,7.15,--,0.00%,7.12,2.69万手,7.28,7.87,1.67万手,1923.30万,53.45%,24.23亿,270.98,0.03,6.03亿,7.15,0.79%,7.11,"
                        6.44",1.02万手,2.38%,0.45,43.10亿,2.20,3.25,3.39亿
深大通(000038),sz000038,18.50,--,0.00%,--,--,--,20.35,--,--,--,14.59亿,27.22,0.51,5.23亿,18.50,--,--,"
                        16.65",--,--,--,96.71亿,1.82,10.14,7887.90万
